ref,sender_code,receiver_code,amount,currency,timestamp,channel
TXN-000001,ACC-0001,ACC-0013,6614.14,USD,2026-03-18T19:13:00,mobile
TXN-000002,ACC-0001,ACC-0016,5352.43,USD,2026-03-18T18:21:00,transfer
TXN-000003,ACC-0001,ACC-0024,4323.99,USD,2026-03-21T10:30:00,transfer
TXN-000004,ACC-0002,ACC-0003,2301.31,USD,2026-04-14T15:13:00,transfer
TXN-000005,ACC-0002,ACC-0019,830.37,USD,2026-03-29T12:38:00,transfer
TXN-000006,ACC-0002,ACC-0003,2988.69,USD,2026-04-08T20:10:00,transfer
TXN-000007,ACC-0002,ACC-0021,7413.81,USD,2026-04-09T17:42:00,mobile
TXN-000008,ACC-0002,ACC-0003,1056.38,USD,2026-04-09T16:43:00,transfer
TXN-000009,ACC-0003,ACC-0015,5129.71,USD,2026-04-10T13:39:00,transfer
TXN-000010,ACC-0003,ACC-0014,2771.64,USD,2026-03-29T15:12:00,transfer
TXN-000011,ACC-0004,ACC-0016,2209.1,USD,2026-04-02T21:08:00,transfer
TXN-000012,ACC-0004,ACC-0024,3913.92,USD,2026-04-13T11:47:00,mobile
TXN-000013,ACC-0004,ACC-0021,7541.54,USD,2026-04-11T10:07:00,mobile
TXN-000014,ACC-0005,ACC-0007,7930.75,USD,2026-04-01T11:59:00,mobile
TXN-000015,ACC-0005,ACC-0019,2689.03,USD,2026-03-30T21:14:00,transfer
TXN-000016,ACC-0005,ACC-0004,6891.36,USD,2026-04-03T11:43:00,transfer
TXN-000017,ACC-0005,ACC-0018,2444.17,USD,2026-03-27T09:21:00,mobile
TXN-000018,ACC-0006,ACC-0014,2826.68,USD,2026-03-20T15:24:00,transfer
TXN-000019,ACC-0006,ACC-0013,4368.07,USD,2026-04-09T09:59:00,transfer
TXN-000020,ACC-0006,ACC-0025,6885.7,USD,2026-03-21T16:14:00,transfer
TXN-000021,ACC-0006,ACC-0022,1963.16,USD,2026-03-22T13:06:00,transfer
TXN-000022,ACC-0006,ACC-0008,6159.15,USD,2026-03-23T19:45:00,mobile
TXN-000023,ACC-0007,ACC-0011,3617.38,USD,2026-03-15T10:56:00,transfer
TXN-000024,ACC-0007,ACC-0015,7717.69,USD,2026-04-06T10:32:00,transfer
TXN-000025,ACC-0007,ACC-0023,7021.83,USD,2026-03-20T16:34:00,mobile
TXN-000026,ACC-0007,ACC-0010,3561.19,USD,2026-04-05T15:42:00,mobile
TXN-000027,ACC-0007,ACC-0011,3155.88,USD,2026-03-24T18:55:00,transfer
TXN-000028,ACC-0008,ACC-0014,2827.41,USD,2026-04-08T14:00:00,transfer
TXN-000029,ACC-0008,ACC-0024,2504.13,USD,2026-03-18T12:57:00,mobile
TXN-000030,ACC-0008,ACC-0022,2235.67,USD,2026-04-01T20:48:00,mobile
TXN-000031,ACC-0009,ACC-0013,5321.14,USD,2026-04-14T10:32:00,mobile
TXN-000032,ACC-0009,ACC-0001,4272.38,USD,2026-03-15T19:47:00,mobile
TXN-000033,ACC-0009,ACC-0018,6322.0,USD,2026-03-31T12:16:00,transfer
TXN-000034,ACC-0009,ACC-0016,4570.91,USD,2026-03-25T18:49:00,transfer
TXN-000035,ACC-0009,ACC-0007,5966.03,USD,2026-04-11T21:19:00,transfer
